Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   563/1999        10G    0.01833   0.009003   0.008543         85        640: 100%|██████████| 162/162 [01:05<00:00,  2.48it/s]                           
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:17<00:00,  1.55it/s]                  
                   all       3448      10017      0.884      0.888      0.915      0.825
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 463, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

564 epochs completed in 13.372 hours.
Optimizer stripped from Traffic_signs/exp15/weights/last.pt, 15.5MB
Optimizer stripped from Traffic_signs/exp15/weights/best.pt, 15.5MB

Validating Traffic_signs/exp15/weights/best.pt...
Fusing layers... 
Model summary: 157 layers, 7549525 parameters, 0 gradients, 17.5 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:22<00:00,  1.21it/s]                  
                   174       3448         51      0.586      0.765       0.66      0.578
                   175       3448         52      0.611      0.654      0.647      0.538
                   176       3448         44      0.733      0.687      0.713      0.589
                   177       3448         41      0.577       0.78      0.761      0.635
                   178       3448        137      0.845      0.879      0.915      0.771
                   179       3448         61      0.987          1      0.995      0.878
                   180       3448         60      0.995      0.967      0.978      0.842
                   181       3448         53      0.781      0.642      0.761      0.633
                   182       3448         42      0.818      0.762      0.879      0.827
                   183       3448         40      0.518      0.725      0.583      0.487
                   184       3448         40      0.633      0.875      0.883      0.777
                   185       3448         53      0.895          1      0.985      0.812
                   186       3448         41      0.568      0.739      0.666      0.524
                   187       3448         34      0.432      0.588      0.458      0.311
                   188       3448         40      0.485      0.118       0.39      0.266
                   189       3448         43       0.93      0.953       0.98      0.806
                   190       3448         35      0.386      0.629      0.539      0.415
                   191       3448         48      0.566      0.375        0.5      0.382
                   192       3448         33      0.304      0.278      0.401      0.299
                   193       3448         41       0.72      0.512      0.654      0.453
                   194       3448         31      0.421      0.328      0.391      0.252
                   195       3448         80      0.908      0.861      0.881      0.749
                   196       3448         56      0.898      0.946      0.963       0.84
                   197       3448         57       0.96       0.93      0.965      0.836
                   198       3448         56      0.985      0.982      0.994      0.875
